post_index,comment_imbalance,participation_rate_A,participation_rate_B,participation_gap,mean_confidence_A,mean_confidence_B,mean_willingness_A,mean_willingness_B,conformity_rate,silence_streak_mean,silence_streak_max,silence_streak_pct_ge_5,cascade_flag
1,0.21518987341772156,0.42,0.37,0.04999999999999999,0.5026171948275331,0.4977195356737406,0.5055735674543133,0.49505142217386505,0.0759493670886076,0.605,1,0.0,0
2,0.2142857142857142,0.44,0.4,0.03999999999999998,0.5045138862471784,0.4960142963428854,0.5089399173864042,0.4918598809821708,0.08333333333333333,0.94,2,0.0,0
3,0.2888888888888888,0.36,0.54,-0.18000000000000005,0.503067800555765,0.4973658284537539,0.5023647695333072,0.4976147133237598,0.044444444444444446,1.08,3,0.0,0
4,0.14942528735632177,0.46,0.41,0.050000000000000044,0.5031752317604188,0.49687634194275154,0.5058708257536261,0.49434698316719483,0.04597701149425287,1.22,4,0.0,0
5,0.02173913043478265,0.47,0.45,0.019999999999999962,0.5026105607968965,0.49762624681097856,0.5026925279494233,0.49733476552230543,0.021739130434782608,1.24,5,0.08,0
6,0.17647058823529416,0.36,0.32,0.03999999999999998,0.502836849570704,0.4971534839897441,0.504627270630702,0.4952283777026734,0.058823529411764705,1.575,6,0.1,0
7,0.11904761904761907,0.43,0.41,0.020000000000000018,0.5017304022757219,0.49811576166831456,0.5003945303862593,0.49881412040242473,0.07142857142857142,1.57,7,0.1,0
8,0.24675324675324672,0.4,0.37,0.030000000000000027,0.504076755793892,0.4955599395336915,0.5100938578743334,0.48994547486462486,0.1038961038961039,1.645,8,0.1,0
9,0.08433734939759047,0.4,0.43,-0.02999999999999997,0.505071243287455,0.4946918773478949,0.5092599914841833,0.4905908209467614,0.04819277108433735,1.6,9,0.09,0
10,0.13684210526315788,0.51,0.44,0.07,0.506799526937456,0.49295539536442057,0.5144756487705988,0.48581754962849927,0.031578947368421054,1.405,10,0.09,0
11,0.14285714285714285,0.45,0.46,-0.010000000000000009,0.5067541715790214,0.49314908498104254,0.5116839502838482,0.4880936378287112,0.06593406593406594,1.405,11,0.08,0
12,0.19999999999999996,0.49,0.36,0.13,0.5063886168390258,0.49334981047610144,0.5116091701873049,0.48793815992969697,0.047058823529411764,1.375,12,0.08,0
13,0.23076923076923078,0.34,0.44,-0.09999999999999998,0.5041647826204012,0.4954113334527892,0.5045959783537264,0.49408042563737853,0.05128205128205128,1.52,13,0.07,0
14,0.19999999999999996,0.44,0.36,0.08000000000000002,0.5045098978766511,0.49472391743712874,0.5089629999869354,0.48990387381108796,0.05,1.67,14,0.085,0
15,0.06172839506172845,0.45,0.36,0.09000000000000002,0.5041963604050312,0.49507365864151937,0.5064092337037421,0.49201072868441187,0.08641975308641975,1.805,15,0.11,0
16,0.16049382716049387,0.43,0.38,0.04999999999999999,0.5025640896365712,0.4964843785622721,0.5021333531766089,0.49570449126066235,0.1111111111111111,1.82,16,0.12,0
17,0.12941176470588234,0.45,0.4,0.04999999999999999,0.49901280475645315,0.49971350024226946,0.49241989098724637,0.5037196052983705,0.09411764705882353,1.695,17,0.125,0
18,0.23076923076923078,0.35,0.43,-0.08000000000000002,0.49595740291370943,0.5023400759594701,0.48716764461413575,0.508721095515707,0.0641025641025641,1.745,18,0.11,0
19,0.08045977011494254,0.46,0.41,0.050000000000000044,0.49306747280726104,0.5048698908176649,0.48046766910333305,0.5137504214865767,0.06896551724137931,1.84,19,0.14,0
20,0.09090909090909088,0.41,0.36,0.04999999999999999,0.4908154796730937,0.5067151120380164,0.4765630742782266,0.5172617515971247,0.07792207792207792,1.82,20,0.115,0
21,0.1282051282051282,0.36,0.42,-0.06,0.4885353705055601,0.5086918399805417,0.4712522095167856,0.521650048540145,0.02564102564102564,1.88,21,0.115,0
22,0.1157894736842105,0.47,0.48,-0.010000000000000009,0.4861850088338576,0.5106553981912143,0.46621820902722094,0.5256185068863167,0.05263157894736842,1.46,22,0.095,0
23,0.308641975308642,0.34,0.47,-0.12999999999999995,0.48277287581286965,0.5136710521585719,0.45766985886027106,0.5328354593864543,0.07407407407407407,1.555,23,0.09,1
24,0.28,0.42,0.33,0.08999999999999997,0.4831556558523538,0.5129366164831839,0.463420720614074,0.5275849368923149,0.08,1.675,24,0.075,0
25,0.30000000000000004,0.35,0.45,-0.10000000000000003,0.4821082505533304,0.5140246376854194,0.4578950434571462,0.5324626237943605,0.0875,1.54,13,0.07,1
26,0.18604651162790692,0.42,0.44,-0.020000000000000018,0.47983388834095236,0.5158470664308528,0.45269937527538207,0.5364863298432909,0.08139534883720931,1.5,14,0.065,0
27,0.1807228915662651,0.43,0.4,0.02999999999999997,0.47734050929482386,0.5179450484947883,0.447234291604686,0.5410147097524708,0.10843373493975904,1.49,15,0.075,0
