condition,post_index,comment_imbalance_mean,participation_rate_A_mean,participation_rate_B_mean,participation_gap_mean,mean_confidence_A_mean,mean_confidence_B_mean,mean_willingness_A_mean,mean_willingness_B_mean,conformity_rate_mean,silence_streak_mean_mean,silence_streak_max_mean,silence_streak_pct_ge_5_mean,cascade_flag_mean,comment_imbalance_std,participation_rate_A_std,participation_rate_B_std,participation_gap_std,mean_confidence_A_std,mean_confidence_B_std,mean_willingness_A_std,mean_willingness_B_std,conformity_rate_std,silence_streak_mean_std,silence_streak_max_std,silence_streak_pct_ge_5_std,cascade_flag_std,cascade_probability
control,1,0.17492342023856206,0.40149999999999997,0.40700000000000003,-0.0055,0.4986241754259052,0.5012733250348894,0.49723430558882403,0.5026133585068878,0.06623997227623851,0.59575,1.0,0.0,0.1,0.1022407577858662,0.04987088592714083,0.0462373738099614,0.0770150361259,0.0025719967953646504,0.0024877447067232824,0.005184481965528596,0.005475594237292146,0.024164457493193212,0.0288040110510946,0.0,0.0,0.30779350562554625,0.1
control,2,0.1859000817306446,0.40549999999999997,0.3995,0.005999999999999997,0.49873909348030676,0.5010274527465943,0.4989150884381329,0.5008251259547418,0.07652140997480873,0.9682499999999999,2.0,0.0,0.2,0.10430505190619806,0.048717769372494654,0.06336818062552745,0.08543387717071636,0.0038439030337325385,0.0035811755799257804,0.007299584921457354,0.007407527414570735,0.04466778618788721,0.05887710215265981,0.0,0.0,0.41039134083406165,0.2
control,3,0.1752832677373048,0.42000000000000004,0.392,0.028000000000000008,0.4989654407514478,0.5006608854332845,0.49931349529711333,0.5004268439194661,0.061212873697090976,1.1949999999999998,3.0,0.0,0.1,0.09319325938550313,0.06266032069399011,0.05166694963137001,0.09305346510700743,0.004984617134863489,0.004502464069467396,0.009501254006262462,0.00949889177100583,0.025784257114426917,0.09160843445424607,0.0,0.0,0.3077935056255462,0.1
control,4,0.19603885962742212,0.414,0.403,0.010999999999999996,0.49907521613168376,0.5004521507394051,0.49922931617095595,0.5001757798175459,0.0804615349410358,1.35125,4.0,0.0,0.25,0.1093159112374375,0.05285531392893544,0.03812721089361658,0.0712962684488946,0.0051552715730608595,0.004726484231440554,0.009368522609610082,0.0096444413038579,0.027755667187377313,0.08801726804260748,0.0,0.0,0.44426165831931924,0.25
control,5,0.19697409303375657,0.4165,0.3975,0.019000000000000003,0.49872626999872216,0.5007135602100264,0.49823225125348414,0.5013155110687968,0.0725653786811604,1.459,5.0,0.10375000000000001,0.1,0.1260519288299297,0.06531502607806985,0.06222835704927965,0.11238561436318029,0.005484184039729417,0.005286298192339704,0.010749509323693701,0.010992575204899676,0.031184732194262463,0.10444842595372383,0.0,0.01761242085634603,0.30779350562554625,0.1
control,6,0.1700350113880384,0.39249999999999996,0.40700000000000003,-0.014499999999999996,0.4976919501457515,0.5017471180863544,0.49527766962198905,0.5040734641122282,0.07000724555588528,1.5467499999999998,6.0,0.10900000000000001,0.05,0.08652961010417552,0.053985865596566346,0.04736198786724267,0.06533114031407107,0.005830764187495993,0.005699989319548261,0.011211964002781506,0.011613709425849932,0.034201842758322366,0.15655228654048023,0.0,0.025833474815685008,0.22360679774997896,0.05
control,7,0.18504951026747785,0.40449999999999997,0.40650000000000003,-0.0020000000000000018,0.4977628407173008,0.5016578903271605,0.4966657891956136,0.5024607512866839,0.08319505170006641,1.5655,7.0,0.10175000000000001,0.05,0.08408771590408318,0.045244947377114875,0.049765238343329785,0.06993229808743219,0.006066304901613455,0.005923606020799004,0.011565354096384484,0.01191661372322695,0.028771523949212893,0.1782879102669848,0.0,0.02749521489469146,0.22360679774997894,0.05
control,8,0.18780595172911602,0.41100000000000003,0.396,0.014999999999999996,0.49846868706438024,0.5009026249624072,0.49850725412207453,0.5004623648435145,0.07737065982206257,1.6162500000000002,8.0,0.10124999999999999,0.1,0.0870006809858048,0.05437685266051316,0.05557356433261753,0.07667429405231621,0.006083505928672944,0.005917821251001958,0.011953173021828726,0.011763016957891462,0.03048013952244638,0.1840686013419996,0.0,0.022057043271815402,0.30779350562554625,0.1
control,9,0.20603862076358098,0.40149999999999997,0.40099999999999997,0.0005000000000000004,0.4984823669274805,0.50080099451781,0.49779200263196915,0.5011782840264715,0.07896467494217847,1.6647500000000002,9.0,0.10925,0.25,0.10688162651062182,0.04826189517948699,0.06239939270959547,0.08846497969015168,0.006774423818942829,0.006664026134875666,0.013965251282901416,0.013899464356492586,0.029089503675581448,0.17675790014355203,0.0,0.02450966511828602,0.4442616583193193,0.25
control,10,0.15352820387409083,0.395,0.392,0.0030000000000000027,0.49844258322160756,0.5007569259607951,0.4980011907038966,0.5009170858293382,0.05125738346893709,1.68775,10.0,0.1105,0.05,0.08021389554113167,0.06160143538997501,0.03874342049405225,0.06759788224649148,0.0077529280721033034,0.007687854125743995,0.016239866563218602,0.016245850601163094,0.0269056066723655,0.14020168742884206,0.0,0.02151498865540266,0.22360679774997896,0.05
control,11,0.16616226218030877,0.4285,0.40449999999999997,0.024000000000000007,0.4986654713205908,0.5005327363788966,0.4984214437723975,0.5002445403088057,0.06654763864291184,1.6920000000000002,11.0,0.10925,0.05,0.07367586512329195,0.05584518072785078,0.05394685493978993,0.08875750524232927,0.007550279966404559,0.007625223421615489,0.01485458730225804,0.014897546398585076,0.03319105291987058,0.13986271464321154,0.0,0.01734138645583237,0.22360679774997894,0.05
control,12,0.1602814444152167,0.40750000000000003,0.3755,0.032,0.49896456391308863,0.5002407018663243,0.49885036907678415,0.4995346596052331,0.06971651019827448,1.7262499999999998,11.75,0.10500000000000001,0.15,0.11317915717010131,0.044352060416150835,0.05165421468512362,0.07550531525382136,0.007344594445612583,0.007687774442903713,0.015411145314592586,0.0155429540549769,0.026704199367966114,0.15905043059886448,0.7863975156570492,0.02152110347395881,0.3663475485325232,0.15
control,13,0.20182769200507406,0.42300000000000004,0.417,0.006,0.49906403789144893,0.5000850191038335,0.4990638297009503,0.49937644327556996,0.07397737313003526,1.6940000000000002,12.65,0.1055,0.05,0.07436764908124668,0.0575920316125691,0.04835178111344094,0.08970125857240625,0.007482948914526451,0.00796713216056685,0.015760052967820078,0.016099239469752096,0.0328681805179611,0.17945531623865535,0.8127277008872492,0.026945363823465948,0.22360679774997896,0.05
control,14,0.19369321981924884,0.39449999999999996,0.39649999999999996,-0.0019999999999999935,0.49879799162764743,0.5002293142452452,0.4983710050080402,0.49989053958259594,0.06874408696623366,1.7107500000000002,13.5,0.10800000000000001,0.2,0.11036740321503373,0.04465953072089458,0.0622621791087368,0.0795778334647744,0.00835510407138962,0.00894101842058179,0.018365390354370615,0.01869546474264558,0.038078355623629954,0.16818907749754045,1.0000000000000002,0.02358634752295667,0.41039134083406165,0.2
control,15,0.18068388504575392,0.41500000000000004,0.40700000000000003,0.00799999999999999,0.49859801896862155,0.5003700271877516,0.49806691071786435,0.5000534967413431,0.0790448204607528,1.70825,14.2,0.1055,0.15,0.09321655531363042,0.04594046490610944,0.05048188836237783,0.0749455943018878,0.009140019047379155,0.00970686898347608,0.019658381925970046,0.020006792742376583,0.029515909796834394,0.14688229265209898,1.5761378513048248,0.01877147892555702,0.3663475485325232,0.15
control,16,0.15386238290736867,0.40599999999999997,0.402,0.003999999999999992,0.4984986074778501,0.5003474736240994,0.49807051139567793,0.5000522624350661,0.07602265601684594,1.6732500000000001,13.9,0.10200000000000001,0.05,0.10045773500844977,0.04672427521895704,0.06262671365446133,0.08165395533011632,0.01003014652190217,0.010531471985960507,0.021302618436650756,0.02171326538228842,0.027629249621542857,0.1534795974783139,2.125038699338017,0.018736398575471953,0.22360679774997896,0.05
control,17,0.18668246395162943,0.4095,0.3895,0.019999999999999997,0.49858228090821743,0.5001393547804792,0.4985429631988282,0.4995982414999145,0.07431224131227065,1.70125,14.6,0.099,0.15,0.12196887895419425,0.06345118305893867,0.047625181309228014,0.08920703300100337,0.0100455486592246,0.010516670037785716,0.020816441431179715,0.021006775282631923,0.03145485457541683,0.1526853920562423,2.1860803664140644,0.01810786395028705,0.36634754853252327,0.15
control,18,0.1683333529123933,0.398,0.4165,-0.018499999999999992,0.4982450906684077,0.5003834062177835,0.49738988714265425,0.5004345471997669,0.06254604602233463,1.71825,15.55,0.10500000000000001,0.15,0.11143075530248336,0.05559250233430292,0.03923948065539685,0.07929126851777499,0.010291222396190562,0.010796022158070065,0.02168769278288339,0.021868933904138087,0.04015940654200912,0.17494566825762017,2.282081229238369,0.019934101962532244,0.3663475485325232,0.15
control,19,0.17007467413458685,0.426,0.38449999999999995,0.0415,0.49890714400266367,0.49963602235120846,0.5001479447575004,0.4977846121147871,0.056656545386989596,1.71825,15.4,0.10500000000000001,0.05,0.0858110877830947,0.05669864938519491,0.04706937768644782,0.06768930569346354,0.010605486038312137,0.011070494792022769,0.022247801778599623,0.022109415227331338,0.027314442451584844,0.19191058087721893,2.458069417888334,0.027047716121114944,0.22360679774997896,0.05
control,20,0.18727106273152364,0.39649999999999996,0.39,0.0064999999999999945,0.4990233537951485,0.49937337806521603,0.4996489615940215,0.49824346016940424,0.06875536958119713,1.7412500000000002,15.45,0.10575000000000001,0.15,0.09478307810879316,0.05029125695700783,0.04994734069102441,0.07875845819238785,0.010894268936133449,0.011130507249458197,0.02254955451021117,0.022339564570853763,0.027417838712227593,0.15108271523276667,2.8741131355236305,0.020473024613918315,0.36634754853252327,0.15
control,21,0.2186977293287135,0.40049999999999997,0.393,0.0075000000000000015,0.49885724220815114,0.4994924716975132,0.49910295156828904,0.49855033298893225,0.08585007250869019,1.7405000000000002,15.45,0.1065,0.15,0.10374591657536102,0.050312183310543025,0.05858866425297106,0.08194189212002934,0.01079681822183303,0.010966800846273566,0.022013480606013814,0.022092763383962807,0.031580479775528976,0.16369821398890672,2.8557421378504637,0.02596049630536852,0.36634754853252327,0.15
control,22,0.19942858539135352,0.41050000000000003,0.409,0.001500000000000007,0.4989271742128416,0.4993598412123075,0.4995090785690729,0.49803527641175566,0.07536168128547674,1.73,16.05,0.10600000000000001,0.2,0.08731833234703568,0.06065215750924542,0.05118593556827892,0.0766588478087717,0.011186870694133825,0.011396951764702255,0.02367608984421197,0.02361395429801901,0.032068905701304225,0.1757540147029664,3.1867323637065503,0.024257391711220294,0.41039134083406165,0.2
control,23,0.1288202876230204,0.3975,0.39849999999999997,-0.0010000000000000009,0.4993008502828302,0.4989652577800306,0.500356676354105,0.4969420706668924,0.07088830380071645,1.71475,16.2,0.10500000000000001,0.1,0.09485354128357225,0.058658243015659875,0.03937338133682115,0.0715909432672509,0.010876411870481863,0.011050620380528911,0.022152640538647555,0.022398180551824933,0.041218286306840164,0.1589643703873028,3.518372829650242,0.02058359080739597,0.30779350562554625,0.1
control,24,0.16392435454856652,0.4175,0.4165,0.0010000000000000037,0.49935069178074754,0.4988470226940576,0.5000535160442394,0.49696991117290557,0.07351978931375186,1.6765,15.85,0.1035,0.1,0.09298214348894827,0.05250313273861305,0.03717313687682487,0.07656438638922076,0.010977197597169114,0.01108517971453165,0.022983192197152585,0.02332393522500059,0.024249038930818208,0.1356960613010989,3.7595492450978467,0.023175531561495943,0.3077935056255462,0.1
control,25,0.2222651201423039,0.4165,0.379,0.0375,0.4997524950981319,0.4983390941612166,0.5014855236701055,0.495362953736546,0.07957002030767098,1.70825,15.9,0.09925,0.2,0.09998304313451015,0.06376560696471843,0.05035662293764555,0.07986007499963525,0.012136735074217428,0.012174765809872569,0.026348593744696377,0.02699484910036415,0.0312967373326045,0.1263586687089364,3.4777488181444713,0.012698425099200295,0.4103913408340617,0.2
control,26,0.18358458725759916,0.4085,0.3995,0.008999999999999998,0.5001524398488997,0.49781744504112935,0.502111039170525,0.4944203486922418,0.06366555264809354,1.6957499999999999,16.0,0.10024999999999999,0.1,0.07724889282216439,0.04498830257323622,0.05642647754752243,0.08459812116863565,0.01268853942330558,0.012730068000262098,0.026383587868086034,0.027410147090925825,0.02627555650377558,0.19206821019736997,4.192725529821986,0.024250610410114587,0.30779350562554625,0.1
control,27,0.18290517025130276,0.4,0.381,0.019000000000000006,0.5005427931718384,0.49738913459377426,0.5027646384778742,0.4936717022181,0.07112266152027405,1.738,16.25,0.1055,0.15,0.1095002503019472,0.044721359549995794,0.05693024355805047,0.0855877512141471,0.012423638561009545,0.012589655845835978,0.025430622678370363,0.026273354430013388,0.03522666844094168,0.16803351795964622,4.253481546117003,0.025230516193063136,0.3663475485325232,0.15
control,28,0.2200667752264359,0.41200000000000003,0.371,0.041,0.5005959088376972,0.49730804436928067,0.502486639882908,0.49383787406888313,0.08356816990111819,1.7567499999999998,16.65,0.1095,0.3,0.14909154892837628,0.07810923525153057,0.05139117270095077,0.11331836846504166,0.013396894416568725,0.013684533155268012,0.028932220762638922,0.03017086974881893,0.033074066666102214,0.16954486287208997,4.196176204217609,0.020577197394970454,0.4701623459816272,0.3
control,29,0.18963964573640027,0.426,0.381,0.045,0.5008399225654054,0.49702061609860293,0.5032662493476783,0.49273015804717746,0.06873586278159696,1.7712499999999998,16.65,0.11100000000000002,0.05,0.10003937966001593,0.06668070027731923,0.055715442440276715,0.09832812950845542,0.014328710130697768,0.014686182738891636,0.030323238438242042,0.03156109080994792,0.04652304716394493,0.14676220472874507,4.132986686086518,0.016591056563544617,0.22360679774997896,0.05
control,30,0.2450120694927044,0.418,0.392,0.026000000000000002,0.5009704082549999,0.4968527214712951,0.5032275705109764,0.4924567462193343,0.08251353781221314,1.733,16.55,0.10475000000000001,0.25,0.10284626096773183,0.05337060101433728,0.06653847323956742,0.09477952254963538,0.015625482834032287,0.01603176016279545,0.03347620050189495,0.03478778010311082,0.02731054600083171,0.12518827925631815,4.501169438689181,0.01681751906103933,0.4442616583193193,0.25
control,31,0.18225270976562494,0.40199999999999997,0.3915,0.0105,0.5012296869172383,0.4965930526501155,0.503679095518973,0.49182536357977985,0.07980478868487309,1.7550000000000001,16.6,0.10874999999999999,0.15,0.10929483669568767,0.0558758021254093,0.05008151250448456,0.0912760417057712,0.015761376643693346,0.016166578499209532,0.032270771105365546,0.03324521454906351,0.03219947501635549,0.1331303279141395,4.535242116208526,0.015378984293337998,0.36634754853252327,0.15
